Symbol,Company Name,Prediction Horizon (Years),As Of Date,Predicted Total Return (%),Predicted CAGR (%),Annualized Volatility (%),Latest P/E Ratio,Latest Beta,Composite Risk Score,Risk Band (Composite),Risk Band (Volatility Only),Conservative Band,Expected Band,Optimistic Band
ARIES.NS,Aries Agro Limited,1,18-06-2025,47.85,47.85,52.98,11.9,-0.05,0.4,Medium,High,46.85% – 47.85%,48.85% – 50.85%,51.85% – 55.85%
NIRAJ.NS,Niraj Cement Structurals Limited,1,18-06-2025,47.84,47.84,59.65,18.39,-0.55,0.4291,Medium,High,46.84% – 47.84%,48.84% – 50.84%,51.84% – 55.84%
SPARC.NS,Sun Pharma Advanced Research Company Limited,1,18-06-2025,47.79,47.79,47.73,,0.41,,Unknown,High,46.79% – 47.79%,48.79% – 50.79%,51.79% – 55.79%
XCHANGING.NS,Xchanging Solutions Limited,1,18-06-2025,47.73,47.73,36.37,21.71,0.32,0.3213,Medium,High,46.73% – 47.73%,48.73% – 50.73%,51.73% – 55.73%
NAUKRI.NS,Info Edge (India) Limited,1,18-06-2025,47.39,47.39,34.13,496.22,0.76,0.5929,Medium,High,46.39% – 47.39%,48.39% – 50.39%,51.39% – 55.39%
SILGO.NS,Silgo Retail Limited,1,18-06-2025,47.33,47.33,63.82,21.67,0.27,0.4572,Medium,High,46.33% – 47.33%,48.33% – 50.33%,51.33% – 55.33%
BBL.NS,Bharat Bijlee Limited,1,18-06-2025,47.13,47.13,54.13,24.41,0.24,0.4807,Medium,High,46.13% – 47.13%,48.13% – 50.13%,51.13% – 55.13%
INGERRAND.NS,Ingersoll-Rand (India) Limited,1,18-06-2025,46.89,46.89,32.29,45.5,-0.02,0.4844,Medium,High,45.89% – 46.89%,47.89% – 49.89%,50.89% – 54.89%
360ONE.NS,360 One Wam Limited,1,18-06-2025,46.8,46.8,44.64,42.93,0.32,0.5857,Medium,High,45.8% – 46.8%,47.8% – 49.8%,50.8% – 54.8%
SPENCERS.NS,Spencer's Retail Limited,1,18-06-2025,46.65,46.65,49.26,,0.1,,Unknown,High,45.65% – 46.65%,47.65% – 49.65%,50.65% – 54.65%
INDIAGLYCO.NS,India Glycols Limited,1,18-06-2025,46.56,46.56,50.22,25.33,0.22,0.4885,Medium,High,45.56% – 46.56%,47.56% – 49.56%,50.56% – 54.56%
KNRCON.NS,KNR Constructions Limited,1,18-06-2025,46.38,46.38,41.94,5.96,0.56,0.4806,Medium,High,45.38% – 46.38%,47.38% – 49.38%,50.38% – 54.38%
BLUESTARCO.NS,Blue Star Limited,1,18-06-2025,46.21,46.21,42.46,56.85,0.06,0.6246,High,High,45.21% – 46.21%,47.21% – 49.21%,50.21% – 54.21%
RSSOFTWARE.NS,R S Software (India) Limited,1,18-06-2025,46.16,46.16,53.39,18.08,0.4,0.4264,Medium,High,45.16% – 46.16%,47.16% – 49.16%,50.16% – 54.16%
ASTERDM.NS,Aster DM Healthcare Limited,1,18-06-2025,46.12,46.12,31.16,92.63,0.07,0.5116,Medium,High,45.12% – 46.12%,47.12% – 49.12%,50.12% – 54.12%
DHANI.NS,Dhani Services Limited,1,18-06-2025,45.89,45.89,66.3,,0.45,,Unknown,High,44.89% – 45.89%,46.89% – 48.89%,49.89% – 53.89%
SEAMECLTD.NS,Seamec Limited,1,18-06-2025,45.62,45.62,40.39,24.04,0.14,0.3814,Medium,High,44.62% – 45.62%,46.62% – 48.62%,49.62% – 53.62%
HISARMETAL.NS,Hisar Metal Industries Limited,1,18-06-2025,45.59,45.59,40.66,33.37,0.26,0.464,Medium,High,44.59% – 45.59%,46.59% – 48.59%,49.59% – 53.59%
KAJARIACER.NS,Kajaria Ceramics Limited,1,18-06-2025,45.41,45.41,30.48,47.52,0.54,0.4919,Medium,High,44.41% – 45.41%,46.41% – 48.41%,49.41% – 53.41%
CENTURYPLY.NS,Century Plyboards (India) Limited,1,18-06-2025,45.22,45.22,35.65,90.23,0.47,0.5565,Medium,High,44.22% – 45.22%,46.22% – 48.22%,49.22% – 53.22%
SOLARINDS.NS,Solar Industries India Limited,1,18-06-2025,45.08,45.08,36.69,128.79,-0.2,0.5669,Medium,High,44.08% – 45.08%,46.08% – 48.08%,49.08% – 53.08%
SCI.NS,The Shipping Corporation of India Limited,1,18-06-2025,44.61,44.61,53.31,12.1,0.22,0.4,Medium,High,43.61% – 44.61%,45.61% – 47.61%,48.61% – 52.61%
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,1,18-06-2025,44.59,44.59,25.05,36.99,0.31,0.3389,Medium,Medium,43.59% – 44.59%,45.59% – 47.59%,48.59% – 52.59%
USHAMART.NS,Usha Martin Limited,1,18-06-2025,44.54,44.54,41.39,23.24,0.23,0.3846,Medium,High,43.54% – 44.54%,45.54% – 47.54%,48.54% – 52.54%
AURUM.NS,Aurum PropTech Limited,1,18-06-2025,44.52,44.52,51.33,,0.12,,Unknown,High,43.52% – 44.52%,45.52% – 47.52%,48.52% – 52.52%
HINDUNILVR.NS,Hindustan Unilever Limited,1,18-06-2025,44.26,44.26,18.99,50.85,0.37,0.3899,Medium,Medium,43.26% – 44.26%,45.26% – 47.26%,48.26% – 52.26%
MANAKSIA.NS,Manaksia Limited,1,18-06-2025,44.15,44.15,40.7,8.74,0.35,0.457,Medium,High,43.15% – 44.15%,45.15% – 47.15%,48.15% – 52.15%
ARMANFIN.NS,Arman Financial Services Limited,1,18-06-2025,43.92,43.92,46.23,34.48,0.08,0.5293,Medium,High,42.92% – 43.92%,44.92% – 46.92%,47.92% – 51.92%
PIONEEREMB.NS,Pioneer Embroideries Limited,1,18-06-2025,43.74,43.74,53.04,29.45,0.17,0.5239,Medium,High,42.74% – 43.74%,44.74% – 46.74%,47.74% – 51.74%
PARACABLES.NS,Paramount Communications Limited,1,18-06-2025,43.65,43.65,50.37,18.99,-0.11,0.4342,Medium,High,42.65% – 43.65%,44.65% – 46.65%,47.65% – 51.65%
JAICORPLTD.NS,Jai Corp Limited,1,18-06-2025,43.54,43.54,58.03,29.29,-0.45,0.5225,Medium,High,42.54% – 43.54%,44.54% – 46.54%,47.54% – 51.54%
KEC.NS,KEC International Limited,1,18-06-2025,43.3,43.3,47.38,41.18,0.07,0.5982,Medium,High,42.3% – 43.3%,44.3% – 46.3%,47.3% – 51.3%
TRITURBINE.NS,Triveni Turbine Limited,1,18-06-2025,43.25,43.25,52.73,54.67,0.17,0.7,High,High,42.25% – 43.25%,44.25% – 46.25%,47.25% – 51.25%
GLOBE.NS,Globe Textiles (India) Limited,1,18-06-2025,43.21,43.21,62.37,6.08,0.32,0.55,Medium,High,42.21% – 43.21%,44.21% – 46.21%,47.21% – 51.21%
GOODLUCK.NS,Goodluck India Limited,1,18-06-2025,43.01,43.01,51.84,21.86,-0.38,0.4588,Medium,High,42.01% – 43.01%,44.01% – 46.01%,47.01% – 51.01%
TIMKEN.NS,Timken India Limited,1,18-06-2025,43,43,34.94,54.14,0.32,0.5494,Medium,High,42.0% – 43.0%,44.0% – 46.0%,47.0% – 51.0%
RENUKA.NS,Shree Renuka Sugars Limited,1,18-06-2025,42.98,42.98,42.96,,-0.09,,Unknown,High,41.98% – 42.98%,43.98% – 45.98%,46.98% – 50.98%
FINCABLES.NS,Finolex Cables Limited,1,18-06-2025,42.88,42.88,41.69,21,0.23,0.3684,Medium,High,41.88% – 42.88%,43.88% – 45.88%,46.88% – 50.88%
ARVINDFASN.NS,Arvind Fashions Limited,1,18-06-2025,42.65,42.65,38.59,,-0.3,,Unknown,High,41.65% – 42.65%,43.65% – 45.65%,46.65% – 50.65%
ESABINDIA.NS,ESAB India Limited,1,18-06-2025,42.44,42.44,28.6,44.76,0.37,0.441,Medium,Medium,41.44% – 42.44%,43.44% – 45.44%,46.44% – 50.44%
EKC.NS,Everest Kanto Cylinder Limited,1,18-06-2025,42.41,42.41,52.52,14.9,1.05,0.5092,Medium,High,41.41% – 42.41%,43.41% – 45.41%,46.41% – 50.41%
JSWSTEEL.NS,JSW Steel Limited,1,18-06-2025,42.38,42.38,26.1,69.36,0.71,0.5036,Medium,Medium,41.38% – 42.38%,43.38% – 45.38%,46.38% – 50.38%
VARDHACRLC.NS,Vardhman Acrylics Limited,1,18-06-2025,42.3,42.3,37.55,30.07,-0.2,0.4047,Medium,High,41.3% – 42.3%,43.3% – 45.3%,46.3% – 50.3%
BALAXI.NS,Balaxi Pharmaceuticals Limited,1,18-06-2025,42.18,42.18,49.63,11.01,0.59,0.4151,Medium,High,41.18% – 42.18%,43.18% – 45.18%,46.18% – 50.18%
APOLLOPIPE.NS,Apollo Pipes Limited,1,18-06-2025,42.17,42.17,43.73,57.8,0.51,0.6395,High,High,41.17% – 42.17%,43.17% – 45.17%,46.17% – 50.17%
ICIL.NS,Indo Count Industries Limited,1,18-06-2025,42.12,42.12,55.86,21.69,0.39,0.4573,Medium,High,41.12% – 42.12%,43.12% – 45.12%,46.12% – 50.12%
BAJAJELEC.NS,Bajaj Electricals Limited,1,18-06-2025,41.85,41.85,34.08,57.17,0.31,0.5408,Medium,High,40.85% – 41.85%,42.85% – 44.85%,45.85% – 49.85%
MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,1,18-06-2025,41.85,41.85,43.74,8.17,0.16,0.4874,Medium,High,40.85% – 41.85%,42.85% – 44.85%,45.85% – 49.85%
GREENPLY.NS,Greenply Industries Limited,1,18-06-2025,41.73,41.73,46.81,42.89,0.74,0.6548,High,High,40.73% – 41.73%,42.73% – 44.73%,45.73% – 49.73%
INDBANK.NS,Indbank Merchant Banking Services Limited,1,18-06-2025,41.71,41.71,46.29,18.19,-0.16,0.3903,Medium,High,40.71% – 41.71%,42.71% – 44.71%,45.71% – 49.71%
TECHM.NS,Tech Mahindra Limited,1,18-06-2025,41.71,41.71,26.27,35.13,0.48,0.3352,Medium,Medium,40.71% – 41.71%,42.71% – 44.71%,45.71% – 49.71%
GTPL.NS,GTPL Hathway Limited,1,18-06-2025,41.66,41.66,35.19,26.66,0.7,0.3918,Medium,High,40.66% – 41.66%,42.66% – 44.66%,45.66% – 49.66%
MAWANASUG.NS,Mawana Sugars Limited,1,18-06-2025,41.58,41.58,39.61,3.64,0.35,0.4461,Medium,High,40.58% – 41.58%,42.58% – 44.58%,45.58% – 49.58%
HUHTAMAKI.NS,Huhtamaki India Limited,1,18-06-2025,41.41,41.41,42.69,18.02,-0.23,0.3528,Medium,High,40.41% – 41.41%,42.41% – 44.41%,45.41% – 49.41%
BAJFINANCE.NS,Bajaj Finance Limited,1,18-06-2025,40.83,40.83,26.15,34.25,0.55,0.3371,Medium,Medium,39.83% – 40.83%,41.83% – 43.83%,44.83% – 48.83%
INOXWIND.NS,Inox Wind Limited,1,18-06-2025,40.2,40.2,55.49,62.05,0.1,0.7,High,High,39.2% – 40.2%,41.2% – 43.2%,44.2% – 48.2%
TRENT.NS,Trent Limited,1,18-06-2025,39.68,39.68,41.06,131.49,0.12,0.6106,High,High,38.68% – 39.68%,40.68% – 42.68%,43.68% – 47.68%
NOCIL.NS,NOCIL Limited,1,18-06-2025,39.23,39.23,42.78,30.64,0.17,0.4619,Medium,High,38.23% – 39.23%,40.23% – 42.23%,43.23% – 47.23%
TEJASNET.NS,Tejas Networks Limited,1,18-06-2025,39.06,39.06,50.95,27.43,-0.12,0.5065,Medium,High,38.06% – 39.06%,40.06% – 42.06%,43.06% – 47.06%
AJANTPHARM.NS,Ajanta Pharma Limited,1,18-06-2025,39.04,39.04,37.42,35.09,0.24,0.4464,Medium,High,38.04% – 39.04%,40.04% – 42.04%,43.04% – 47.04%
MFSL.NS,Max Financial Services Limited,1,18-06-2025,38.73,38.73,27.63,164.93,0.68,0.5113,Medium,Medium,37.73% – 38.73%,39.73% – 41.73%,42.73% – 46.73%
SIKKO.NS,Sikko Industries Limited,1,18-06-2025,38.58,38.58,61.06,24.42,-0.09,0.4807,Medium,High,37.58% – 38.58%,39.58% – 41.58%,42.58% – 46.58%
SARDAEN.NS,Sarda Energy & Minerals Limited,1,18-06-2025,38.42,38.42,46.3,22.93,0.74,0.4799,Medium,High,37.42% – 38.42%,39.42% – 41.42%,42.42% – 46.42%
DIACABS.NS,Diamond Power Infrastructure Limited,1,18-06-2025,38.35,38.35,53.2,157.8,0.74,0.7472,High,High,37.35% – 38.35%,39.35% – 41.35%,42.35% – 46.35%
HEIDELBERG.NS,HeidelbergCement India Limited,1,18-06-2025,38.34,38.34,27.07,41.6,0.33,0.3987,Medium,Medium,37.34% – 38.34%,39.34% – 41.34%,42.34% – 46.34%
ULTRACEMCO.NS,UltraTech Cement Limited,1,18-06-2025,38.04,38.04,23.81,55.71,0.42,0.4381,Medium,Medium,37.04% – 38.04%,39.04% – 41.04%,42.04% – 46.04%
WELSPUNLIV.NS,Welspun Living Limited,1,18-06-2025,37.77,37.77,46.54,19.85,-0.46,0.407,Medium,High,36.77% – 37.77%,38.77% – 40.77%,41.77% – 45.77%
SHREDIGCEM.NS,Shree Digvijay Cement Company Limited,1,18-06-2025,37.57,37.57,28.94,45.05,-0.15,0.447,Medium,Medium,36.57% – 37.57%,38.57% – 40.57%,41.57% – 45.57%
WEWIN.NS,We Win Limited,1,18-06-2025,37.55,37.55,52.67,26.77,1.39,0.6797,High,High,36.55% – 37.55%,38.55% – 40.55%,41.55% – 45.55%
MINDACORP.NS,Minda Corporation Limited,1,18-06-2025,37.49,37.49,41.45,49.82,0.47,0.613,High,High,36.49% – 37.49%,38.49% – 40.49%,41.49% – 45.49%
SAMBHAAV.NS,Sambhaav Media Limited,1,18-06-2025,37.28,37.28,62.84,178.75,0.28,0.7,High,High,36.28% – 37.28%,38.28% – 40.28%,41.28% – 45.28%
SHAREINDIA.NS,Share India Securities Limited,1,18-06-2025,37.24,37.24,43.49,11.77,0.1,0.3349,Medium,High,36.24% – 37.24%,38.24% – 40.24%,41.24% – 45.24%
SOMICONVEY.NS,Somi Conveyor Beltings Limited,1,18-06-2025,36.8,36.8,70.91,33.56,0.05,0.5591,Medium,High,35.8% – 36.8%,37.8% – 39.8%,40.8% – 44.8%
OIL.NS,Oil India Limited,1,18-06-2025,36.63,36.63,44.14,11.63,0.33,0.3414,Medium,High,35.63% – 36.63%,37.63% – 39.63%,40.63% – 44.63%
NH.NS,Narayana Hrudayalaya Limited,1,18-06-2025,36.27,36.27,29.44,49.34,0.18,0.4887,Medium,Medium,35.27% – 36.27%,37.27% – 39.27%,40.27% – 44.27%
PIIND.NS,PI Industries Limited,1,18-06-2025,36.18,36.18,26.83,37.97,0.46,0.3652,Medium,Medium,35.18% – 36.18%,37.18% – 39.18%,40.18% – 44.18%
IDFCFIRSTB.NS,IDFC First Bank Limited,1,18-06-2025,36.15,36.15,29.34,26.56,0.59,0.3096,Medium,Medium,35.15% – 36.15%,37.15% – 39.15%,40.15% – 44.15%
GMMPFAUDLR.NS,GMM Pfaudler Limited,1,18-06-2025,36.11,36.11,28.7,98.14,0.04,0.487,Medium,Medium,35.11% – 36.11%,37.11% – 39.11%,40.11% – 44.11%
CREDITACC.NS,CreditAccess Grameen Limited,1,18-06-2025,36.08,36.08,48.43,34.12,0.13,0.5482,Medium,High,35.08% – 36.08%,37.08% – 39.08%,40.08% – 44.08%
JAIBALAJI.NS,Jai Balaji Industries Limited,1,18-06-2025,35.85,35.85,45.63,16.87,-0.28,0.3723,Medium,High,34.85% – 35.85%,36.85% – 38.85%,39.85% – 43.85%
OSWALSEEDS.NS,ShreeOswal Seeds and Chemicals Limited,1,18-06-2025,35.4,35.4,48.99,,-1.37,,Unknown,High,34.4% – 35.4%,36.4% – 38.4%,39.4% – 43.4%
BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited,1,18-06-2025,35.19,35.19,51.34,141.18,1.63,0.9258,High,High,34.19% – 35.19%,36.19% – 38.19%,39.19% – 43.19%
JWL.NS,Jupiter Wagons Limited,1,18-06-2025,35.05,35.05,52.32,41.94,0.42,0.6309,High,High,34.05% – 35.05%,36.05% – 38.05%,39.05% – 43.05%
ASIANPAINT.NS,Asian Paints Limited,1,18-06-2025,35.02,35.02,20.82,59.52,0.37,0.4082,Medium,Medium,34.02% – 35.02%,36.02% – 38.02%,39.02% – 43.02%
SIYSIL.NS,Siyaram Silk Mills Limited,1,18-06-2025,34.93,34.93,57.11,15.93,0.05,0.408,Medium,High,33.93% – 34.93%,35.93% – 37.93%,38.93% – 42.93%
VAISHALI.NS,Vaishali Pharma Limited,1,18-06-2025,34.82,34.82,60.15,,0.3,,Unknown,High,33.82% – 34.82%,35.82% – 37.82%,38.82% – 42.82%
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,1,18-06-2025,34.81,34.81,32.7,26.74,0.37,0.3276,Medium,High,33.81% – 34.81%,35.81% – 37.81%,38.81% – 42.81%
JAYBARMARU.NS,Jay Bharat Maruti Limited,1,18-06-2025,34.62,34.62,44.53,25.36,0.01,0.4341,Medium,High,33.62% – 34.62%,35.62% – 37.62%,38.62% – 42.62%
J&KBANK.NS,The Jammu and Kashmir Bank Limited,1,18-06-2025,34.25,34.25,37.79,5.45,0.67,0.4621,Medium,High,33.25% – 34.25%,35.25% – 37.25%,38.25% – 42.25%
ARROWGREEN.NS,Arrow Greentech Limited,1,18-06-2025,34.08,34.08,56.09,15.08,0.13,0.4007,Medium,High,33.08% – 34.08%,35.08% – 37.08%,38.08% – 42.08%
GVKPIL.NS,GVK Power & Infrastructure Limited,1,18-06-2025,34.02,34.02,31.28,1.16,-0.59,0.3628,Medium,High,33.02% – 34.02%,35.02% – 37.02%,38.02% – 42.02%
COFFEEDAY.NS,Coffee Day Enterprises Limited,1,18-06-2025,33.27,33.27,57.49,,0.12,,Unknown,High,32.27% – 33.27%,34.27% – 36.27%,37.27% – 41.27%
SINTERCOM.NS,Sintercom India Limited,1,18-06-2025,33.13,33.13,40.31,532.46,0.5,0.6037,High,High,32.13% – 33.13%,34.13% – 36.13%,37.13% – 41.13%
ENERGYDEV.NS,Energy Development Company Limited,1,18-06-2025,33.1,33.1,55.29,,0.4,,Unknown,High,32.1% – 33.1%,34.1% – 36.1%,37.1% – 41.1%
SATIA.NS,Satia Industries Limited,1,18-06-2025,32.88,32.88,33.84,6.73,-0.34,0.3884,Medium,High,31.88% – 32.88%,33.88% – 35.88%,36.88% – 40.88%
PRSMJOHNSN.NS,Prism Johnson Limited,1,18-06-2025,32.8,32.8,47.57,95.21,0.54,0.6829,High,High,31.8% – 32.8%,33.8% – 35.8%,36.8% – 40.8%
HEG.NS,HEG Limited,1,18-06-2025,32.77,32.77,49.23,83.79,1,0.7927,High,High,31.77% – 32.77%,33.77% – 35.77%,36.77% – 40.77%
POWERINDIA.NS,Hitachi Energy India Limited,1,18-06-2025,32.57,32.57,55.79,209.37,0.44,0.7,High,High,31.57% – 32.57%,33.57% – 35.57%,36.57% – 40.57%
IRISDOREME.NS,Iris Clothings Limited,1,18-06-2025,32.24,32.24,38.28,35.83,-0.08,0.4614,Medium,High,31.24% – 32.24%,33.24% – 35.24%,36.24% – 40.24%
ECLERX.NS,eClerx Services Limited,1,18-06-2025,32.11,32.11,38.61,31.88,0.68,0.4664,Medium,High,31.11% – 32.11%,33.11% – 35.11%,36.11% – 40.11%
CAMLINFINE.NS,Camlin Fine Sciences Limited,1,18-06-2025,32.02,32.02,59.59,105.51,0.5,0.7,High,High,31.02% – 32.02%,33.02% – 35.02%,36.02% – 40.02%
GEOJITFSL.NS,Geojit Financial Services Limited,1,18-06-2025,31.91,31.91,60.94,13.06,0.2,0.4,Medium,High,30.91% – 31.91%,32.91% – 34.91%,35.91% – 39.91%
THANGAMAYL.NS,Thangamayil Jewellery Limited,1,18-06-2025,31.86,31.86,55.07,45.35,0.99,0.7592,High,High,30.86% – 31.86%,32.86% – 34.86%,35.86% – 39.86%
GEPIL.NS,GE Power India Limited,1,18-06-2025,31.86,31.86,60.01,,0.87,,Unknown,High,30.86% – 31.86%,32.86% – 34.86%,35.86% – 39.86%
AIROLAM.NS,Airo Lam Limited,1,18-06-2025,31.69,31.69,50.18,58.39,-0.79,0.7,High,High,30.69% – 31.69%,32.69% – 34.69%,35.69% – 39.69%
NECCLTD.NS,North Eastern Carrying Corporation Limited,1,18-06-2025,31.69,31.69,58.11,23.82,0.03,0.4756,Medium,High,30.69% – 31.69%,32.69% – 34.69%,35.69% – 39.69%
FILATEX.NS,Filatex India Limited,1,18-06-2025,31.62,31.62,47.52,17.38,0.51,0.3968,Medium,High,30.62% – 31.62%,32.62% – 34.62%,35.62% – 39.62%
BIRLAMONEY.NS,Aditya Birla Money Limited,1,18-06-2025,31.54,31.54,56.11,13.71,-0.25,0.4,Medium,High,30.54% – 31.54%,32.54% – 34.54%,35.54% – 39.54%
ICICIBANK.NS,ICICI Bank Limited,1,18-06-2025,31.11,31.11,18.89,19.79,0.47,0.1299,Low,Medium,30.11% – 31.11%,32.11% – 34.11%,35.11% – 39.11%
STEELXIND.NS,Steel Exchange India Limited,1,18-06-2025,30.95,30.95,38.97,36.82,0.18,0.4767,Medium,High,29.95% – 30.95%,31.95% – 33.95%,34.95% – 38.95%
BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.,1,18-06-2025,30.92,30.92,37.53,13.24,0.64,0.3027,Medium,High,29.92% – 30.92%,31.92% – 33.92%,34.92% – 38.92%
PARAGMILK.NS,Parag Milk Foods Limited,1,18-06-2025,30.83,30.83,45.85,22.89,0.38,0.4261,Medium,High,29.83% – 30.83%,31.83% – 33.83%,34.83% – 38.83%
FEL.NS,Future Enterprises Limited,1,18-06-2025,30.83,30.83,26.2,,0.56,,Unknown,Medium,29.83% – 30.83%,31.83% – 33.83%,34.83% – 38.83%
JPPOWER.NS,Jaiprakash Power Ventures Limited,1,18-06-2025,30.68,30.68,44.99,19.49,0.2,0.3884,Medium,High,29.68% – 30.68%,31.68% – 33.68%,34.68% – 38.68%
SOBHA.NS,Sobha Limited,1,18-06-2025,30.67,30.67,40.46,169.05,0.36,0.6046,High,High,29.67% – 30.67%,31.67% – 33.67%,34.67% – 38.67%
ZOTA.NS,Zota Health Care Limited,1,18-06-2025,30.62,30.62,44.85,,0.41,,Unknown,High,29.62% – 30.62%,31.62% – 33.62%,34.62% – 38.62%
ONWARDTEC.NS,Onward Technologies Limited,1,18-06-2025,30.61,30.61,52.24,25.89,0.86,0.5661,Medium,High,29.61% – 30.61%,31.61% – 33.61%,34.61% – 38.61%
REDINGTON.NS,Redington Limited,1,18-06-2025,30.54,30.54,43.84,14.71,0.7,0.3776,Medium,High,29.54% – 30.54%,31.54% – 33.54%,34.54% – 38.54%
CINELINE.NS,Cineline India Limited,1,18-06-2025,30.39,30.39,47.44,,0.29,,Unknown,High,29.39% – 30.39%,31.39% – 33.39%,34.39% – 38.39%
VINATIORGA.NS,Vinati Organics Limited,1,18-06-2025,30.29,30.29,30.98,49.43,0.14,0.5049,Medium,High,29.29% – 30.29%,31.29% – 33.29%,34.29% – 38.29%
DIAMONDYD.NS,Prataap Snacks Limited,1,18-06-2025,30.24,30.24,42.5,,-0.06,,Unknown,High,29.24% – 30.24%,31.24% – 33.24%,34.24% – 38.24%
CUMMINSIND.NS,Cummins India Limited,1,18-06-2025,30.17,30.17,34.23,45.49,0.59,0.5227,Medium,High,29.17% – 30.17%,31.17% – 33.17%,34.17% – 38.17%
MADRASFERT.NS,Madras Fertilizers Limited,1,18-06-2025,30.17,30.17,49.55,22.77,0.07,0.4621,Medium,High,29.17% – 30.17%,31.17% – 33.17%,34.17% – 38.17%
JCHAC.NS,Johnson Controls-Hitachi Air Conditioning India Limited,1,18-06-2025,30.13,30.13,39.73,82.13,0.17,0.5973,Medium,High,29.13% – 30.13%,31.13% – 33.13%,34.13% – 38.13%
PDSL.NS,PDS Limited,1,18-06-2025,30.07,30.07,37.34,36.04,0.1,0.4537,Medium,High,29.07% – 30.07%,31.07% – 33.07%,34.07% – 38.07%
DBREALTY.NS,Valor Estate Limited,1,18-06-2025,30.05,30.05,54.65,,-0.42,,Unknown,High,29.05% – 30.05%,31.05% – 33.05%,34.05% – 38.05%
DEEPAKNTR.NS,Deepak Nitrite Limited,1,18-06-2025,29.94,29.94,35.17,37.31,0.35,0.4429,Medium,High,28.94% – 29.94%,30.94% – 32.94%,33.94% – 37.94%
PRINCEPIPE.NS,Prince Pipes and Fittings Limited,1,18-06-2025,29.91,29.91,37.82,90.58,0.69,0.6156,High,High,28.91% – 29.91%,30.91% – 32.91%,33.91% – 37.91%
INFIBEAM.NS,Infibeam Avenues Limited,1,18-06-2025,29.73,29.73,41.32,26,0.18,0.4075,Medium,High,28.73% – 29.73%,30.73% – 32.73%,33.73% – 37.73%
STEELCITY.NS,Steel City Securities Limited,1,18-06-2025,29.62,29.62,43.21,8.38,-0.18,0.4821,Medium,High,28.62% – 29.62%,30.62% – 32.62%,33.62% – 37.62%
RECLTD.NS,REC Limited,1,18-06-2025,29.51,29.51,39.21,6.48,0.35,0.4421,Medium,High,28.51% – 29.51%,30.51% – 32.51%,33.51% – 37.51%
ROUTE.NS,Route Mobile Limited,1,18-06-2025,29.2,29.2,37.09,20.37,0.28,0.3169,Medium,High,28.2% – 29.2%,30.2% – 32.2%,33.2% – 37.2%
